date,open,high,low,close
2/1/2018,124.66,125.18,124.39,125.15
3/1/2018,125.05,125.09,124.101,124.82
4/1/2018,124.89,125.85,124.74,125.46
5/1/2018,124.93,125.48,124.83,125.33
8/1/2018,125.2,125.32,124.9,125.31
9/1/2018,124.49,124.86,124.23,124.73
10/1/2018,125.17,125.31,124.72,125.03
11/1/2018,125.37,125.66,125.25,125.44
12/1/2018,126.01,127.13,125.81,126.96
16/1/2018,126.6,127.18,126.4,127.17
17/1/2018,126.77,127.22,125.9,126.14
18/1/2018,126.13,126.52,125.8,125.86
19/1/2018,126.57,126.73,126.41,126.42
22/1/2018,126.51,126.75,126.28,126.65
23/1/2018,126.53,127.35,126.34,127.28
24/1/2018,128.39,129.265,128.2338,128.83
25/1/2018,128.69,129.515,127.36,127.97
26/1/2018,128.24,128.52,127.97,128.07
29/1/2018,127.58,127.63,126.915,127.35
30/1/2018,127.91,127.9167,126.74,126.8
31/1/2018,127.45,127.85,126.4,127.65
1/2/2018,127.18,128.15,127.08,128.07
2/2/2018,126.81,126.85,125.955,126.39
5/2/2018,126.82,127.31,126.44,126.71
6/2/2018,126.54,126.55,125.22,125.38
7/2/2018,125.48,125.77,124.41,124.79
8/2/2018,124.92,125.44,124.51,124.98
9/2/2018,124.65,125.14,124.39,124.77
12/2/2018,125.19,125.82,125.11,125.37
13/2/2018,125.67,126.18,125.52,126.08
14/2/2018,126.47,128.59,126.29,128.23
15/2/2018,128.43,128.569,127.94,128.38
16/2/2018,128.3,128.7,127.5689,127.96
20/2/2018,127.28,127.4,126.04,126.24
21/2/2018,126.36,126.76,125.44,125.66
22/2/2018,125.92,126.37,125.88,126.3
23/2/2018,126.06,126.3,125.85,126.14
26/2/2018,126.45,126.62,126.18,126.45
27/2/2018,126.06,126.15,124.59,125.13
28/2/2018,125.09,125.46,124.81,125
1/3/2018,124.15,125.31,123.575,124.72
2/3/2018,125.67,125.69,124.97,125.39
5/3/2018,125.35,125.48,124.96,125.18
6/3/2018,126.2,126.9563,126.13,126.53
7/3/2018,126.22,126.29,125.42,125.72
8/3/2018,125.69,125.7,125.125,125.42
9/3/2018,124.94,125.69,124.78,125.54
12/3/2018,125.04,125.57,124.84,125.54
13/3/2018,125.67,125.99,125.05,125.78
14/3/2018,125.49,125.76,125.34,125.7
15/3/2018,125.12,125.21,124.72,124.9
16/3/2018,124.84,124.87,124.21,124.6
19/3/2018,124.57,125.16,124.42,124.87
20/3/2018,124.41,124.55,123.96,124.31
21/3/2018,125.4,126.76,125.03,126.48
22/3/2018,126.09,126.34,125.64,125.98
23/3/2018,127.82,128.06,127.4054,127.61
26/3/2018,128.05,128.58,128.0107,128.28
27/3/2018,127.23,127.62,127.05,127.49
28/3/2018,126.48,126.61,125.51,125.73
29/3/2018,125.42,125.81,125.31,125.79
2/4/2018,126.65,127.54,126.375,127.26
3/4/2018,126.54,126.59,126.01,126.3
4/4/2018,127.5,127.53,126.32,126.45
5/4/2018,125.45,126.0825,125.425,125.8
6/4/2018,126.57,126.6,126.125,126.39
9/4/2018,126.45,126.86,126.23,126.82
10/4/2018,127.02,127.305,126.67,127.12
11/4/2018,128.09,129.47,127.78,128.11
12/4/2018,127.25,127.34,126.47,126.62
13/4/2018,127.07,127.75,127.03,127.45
16/4/2018,127.74,128.05,127.57,127.63
17/4/2018,127.02,127.78,127.001,127.75
18/4/2018,128.32,128.54,127.751,127.85
19/4/2018,127.81,127.8839,127.13,127.6
20/4/2018,126.69,126.97,126.55,126.63
23/4/2018,125.62,125.76,125.3412,125.62
24/4/2018,125.78,126.34,125.67,126.23
25/4/2018,125.23,125.51,125.06,125.41
26/4/2018,125.54,125.57,124.69,124.97
27/4/2018,125.2,125.62,125.17,125.5
30/4/2018,124.41,125.2,124.1901,124.59
1/5/2018,123.9,123.9848,123.39,123.71
2/5/2018,123.9,124.54,123.58,123.65
3/5/2018,124.66,124.76,124.24,124.28
4/5/2018,124.1,124.65,124,124.54
7/5/2018,124.5,124.7,124.3,124.57
8/5/2018,124.14,124.95,123.79,124.59
9/5/2018,124.45,124.87,124.24,124.33
10/5/2018,125.22,125.3724,124.75,125.18
11/5/2018,125.57,125.59,124.94,125
14/5/2018,125.16,125.21,124.44,124.49
15/5/2018,122.82,122.82,122.13,122.48
16/5/2018,122.38,122.61,122.03,122.29
17/5/2018,122.23,122.43,122.04,122.36
18/5/2018,122.05,122.65,122.01,122.41
21/5/2018,122.16,122.53,121.97,122.48
22/5/2018,122.7,122.74,122.34,122.41
23/5/2018,122.14,122.74,122.11,122.54
24/5/2018,123.1,123.82,123.08,123.59
25/5/2018,123.66,123.7,123.21,123.21
29/5/2018,122.84,123.64,122.66,123.19
30/5/2018,123.17,123.61,123.17,123.37
31/5/2018,123.26,123.78,123.1,123.1
1/6/2018,122.58,123.09,122.44,122.49
4/6/2018,122.85,122.93,122.37,122.37
5/6/2018,122.55,123.2257,122.281,122.85
6/6/2018,123.08,123.35,122.63,122.92
7/6/2018,122.96,123.145,122.69,122.86
8/6/2018,123.08,123.12,122.91,123.01
11/6/2018,123.1,123.42,123.0175,123.23
12/6/2018,122.95,123.18,122.64,122.82
13/6/2018,122.84,123.34,122.47,123.19
14/6/2018,123.63,123.86,123.32,123.38
15/6/2018,122.18,122.2,120.83,121.34
18/6/2018,121.35,121.44,120.99,121.11
19/6/2018,120.81,121.03,120.581,120.8
20/6/2018,120.79,120.81,120.16,120.26
21/6/2018,119.92,120.32,119.821,120.05
22/6/2018,120.21,120.4,120.1,120.34
25/6/2018,120,120.23,119.8299,119.89
26/6/2018,119.28,119.59,119.09,119.26
27/6/2018,118.96,119.05,118.48,118.58
28/6/2018,118.59,118.67,118.01,118.22
29/6/2018,118.43,118.94,118.26,118.65
2/7/2018,118.18,118.21,117.4,117.46
3/7/2018,118.41,119.08,118.38,118.65
5/7/2018,118.92,119.33,118.77,119.05
6/7/2018,118.97,119.03,118.731,118.86
9/7/2018,119.65,119.73,119.14,119.15
10/7/2018,118.89,119,118.61,118.93
11/7/2018,118.45,118.53,117.62,117.64
12/7/2018,118,118.2638,117.94,118.13
13/7/2018,117.62,117.75,117.4465,117.61
16/7/2018,117.51,117.625,117.28,117.55
17/7/2018,116.72,116.925,116.12,116.28
18/7/2018,116.03,116.35,115.83,116.31
19/7/2018,115.13,116.47,115.12,115.81
20/7/2018,116.4,116.71,116.24,116.56
23/7/2018,116.25,116.31,115.76,116
24/7/2018,116.22,116.43,115.91,116.04
25/7/2018,116.79,116.8366,116.27,116.68
26/7/2018,116.24,116.51,115.77,115.77
27/7/2018,115.92,116.2399,115.77,115.83
30/7/2018,115.8,116.02,115.64,115.65
31/7/2018,115.47,116.35,115.394,115.99
1/8/2018,115.63,115.7,115.125,115.14
2/8/2018,115.17,115.23,114.42,114.52
3/8/2018,115.09,115.53,114.86,114.92
6/8/2018,114.56,114.72,114.31,114.33
7/8/2018,114.85,114.935,114.42,114.59
8/8/2018,114.75,114.95,114.41,114.91
9/8/2018,115.02,115.12,114.69,114.74
10/8/2018,114.81,115.23,114.6076,114.69
13/8/2018,113.81,113.81,112.83,112.96
14/8/2018,113.25,113.48,112.84,113.07
15/8/2018,112.17,112.18,111.06,111.19
16/8/2018,111.46,111.88,111.1,111.1
17/8/2018,111.69,112.15,111.38,112.13
20/8/2018,112.38,112.74,112.16,112.69
21/8/2018,112.77,113.1,112.44,113.02
22/8/2018,113.39,113.49,113.07,113.27
23/8/2018,112.68,112.88,112.06,112.2
24/8/2018,113.25,114.42,113.21,114.16
27/8/2018,114.12,114.78,114.12,114.59
28/8/2018,114.76,114.8666,113.55,113.68
29/8/2018,114.16,114.21,113.85,114.2
30/8/2018,113.92,113.93,113.24,113.64
31/8/2018,113.72,114.06,113.44,113.51
4/9/2018,112.75,113.07,112.61,112.93
5/9/2018,113.36,113.44,113.12,113.32
6/9/2018,113.89,114.26,113.28,113.54
7/9/2018,113.26,113.6,112.97,113.23
10/9/2018,113.26,113.43,113,113.15
11/9/2018,112.65,113.37,112.42,113.22
12/9/2018,113.12,114.39,113.055,114.17
13/9/2018,114.72,114.78,113.58,113.76
14/9/2018,113.79,113.9,112.91,113.02
17/9/2018,113.6,114.03,113.55,113.61
18/9/2018,113.79,113.91,113.275,113.44
19/9/2018,113.94,114.15,113.68,113.88
20/9/2018,114.21,114.37,113.855,114.27
21/9/2018,112.8701,113.68,112.79,113.49
24/9/2018,113.68,113.96,113.43,113.47
25/9/2018,113.75,113.885,113.57,113.65
26/9/2018,113.11,113.6,112.66,113.05
27/9/2018,112.1,112.4156,111.8499,112.05
28/9/2018,112.16,113,112.07,112.76
1/10/2018,112.4,112.62,112.15,112.57
2/10/2018,113.7,114.33,113.61,113.87
3/10/2018,113.87,114.05,113.26,113.42
4/10/2018,113.83,114.19,113.255,113.48
5/10/2018,113.81,114.1,113.57,113.8
8/10/2018,112.25,112.59,111.9,112.54
9/10/2018,112.37,112.67,111.97,112.6
10/10/2018,112.47,112.96,112.25,112.88
11/10/2018,114.2,116.04,114.09,115.78
12/10/2018,115.58,115.71,115.08,115.23
15/10/2018,116.12,116.53,115.89,116
16/10/2018,116.49,116.6,115.8,115.8
17/10/2018,115.89,116.33,115.68,115.79
18/10/2018,115.83,116.41,115.63,115.92
19/10/2018,116.23,116.24,115.96,116.01
22/10/2018,115.57,115.7789,115.43,115.71
23/10/2018,117.16,117.25,116.33,116.39
24/10/2018,116.38,116.72,116.1101,116.66
25/10/2018,116.58,116.73,116.19,116.4
26/10/2018,116.83,117.65,116.46,116.77
29/10/2018,116.41,116.54,115.84,116.31
30/10/2018,115.85,116.04,115.635,115.8
31/10/2018,114.89,115.17,114.66,115.15
1/11/2018,116.33,117.07,116.18,116.63
2/11/2018,116.61,116.98,116.39,116.65
5/11/2018,116.28,116.67,116.23,116.37
6/11/2018,116.44,116.525,115.74,116.04
7/11/2018,116.26,116.345,115.9,116.03
8/11/2018,115.77,116.15,115.5,115.78
9/11/2018,114.6,114.75,114.14,114.48
12/11/2018,114.01,114.05,113.58,113.66
13/11/2018,113.72,113.93,113.42,113.7
14/11/2018,113.53,115.06,113.46,114.64
15/11/2018,114.83,114.99,114.56,114.77
16/11/2018,115.83,115.88,115.37,115.62
19/11/2018,115.45,115.92,115.37,115.67
20/11/2018,115.94,115.95,115.37,115.67
21/11/2018,115.94,116.35,115.86,115.86
23/11/2018,115.76,115.88,115.585,115.77
26/11/2018,115.84,115.87,115.53,115.64
27/11/2018,115.55,115.63,114.6,114.95
28/11/2018,114.76,116.07,114.59,115.38
29/11/2018,115.97,116.24,115.56,115.74
30/11/2018,115.42,115.66,115.04,115.54
3/12/2018,116.6,116.77,116.295,116.41
4/12/2018,117.37,117.39,116.931,117.12
6/12/2018,117.38,117.685,116.92,117.14
7/12/2018,117.62,118.23,117.54,118.09
10/12/2018,117.7,117.94,117.42,117.68
11/12/2018,117.67,117.89,117.35,117.54
12/12/2018,117.7,117.95,117.6117,117.79
13/12/2018,117.54,117.62,117.26,117.53
14/12/2018,116.63,117.3,116.58,117.06
17/12/2018,117.37,118.03,117.35,117.87
18/12/2018,117.85,118.2,117.81,118.15
19/12/2018,118.24,118.96,117.4,117.43
20/12/2018,119.11,119.74,118.68,119.24
21/12/2018,119.19,119.25,118.57,118.72
24/12/2018,119.57,120.14,119.57,120.02
26/12/2018,120.62,120.995,119.57,119.66
27/12/2018,120.57,120.895,120.14,120.57
