date,open,high,low,close
2/1/2018,2683.73,2695.89,2682.36,2695.81
3/1/2018,2697.85,2714.37,2697.77,2713.06
4/1/2018,2719.31,2729.29,2719.07,2723.99
5/1/2018,2731.33,2743.45,2727.92,2743.15
8/1/2018,2742.67,2748.51,2737.6,2747.71
9/1/2018,2751.15,2759.14,2747.86,2751.29
10/1/2018,2745.55,2750.8,2736.06,2748.23
11/1/2018,2752.97,2767.56,2752.78,2767.56
12/1/2018,2770.18,2787.85,2769.64,2786.24
16/1/2018,2798.96,2807.54,2768.64,2776.42
17/1/2018,2784.99,2807.04,2778.38,2802.56
18/1/2018,2802.4,2805.83,2792.56,2798.03
19/1/2018,2802.6,2810.33,2798.08,2810.3
22/1/2018,2809.16,2833.03,2808.12,2832.97
23/1/2018,2835.05,2842.24,2830.59,2839.13
24/1/2018,2845.42,2852.97,2824.81,2837.54
25/1/2018,2846.24,2848.56,2830.94,2839.25
26/1/2018,2847.48,2872.87,2846.18,2872.87
29/1/2018,2867.23,2870.62,2851.48,2853.53
30/1/2018,2832.74,2837.75,2818.27,2822.43
31/1/2018,2832.41,2839.26,2813.04,2823.81
1/2/2018,2816.45,2835.96,2812.7,2821.98
2/2/2018,2808.92,2808.92,2759.97,2762.13
5/2/2018,2741.06,2763.39,2638.17,2648.94
6/2/2018,2614.78,2701.04,2593.07,2695.14
7/2/2018,2690.95,2727.67,2681.33,2681.66
8/2/2018,2685.01,2685.27,2580.56,2581
9/2/2018,2601.78,2638.67,2532.69,2619.55
12/2/2018,2636.75,2672.61,2622.45,2656
13/2/2018,2646.27,2668.84,2637.08,2662.94
14/2/2018,2651.21,2702.1,2648.87,2698.63
15/2/2018,2713.46,2731.51,2689.82,2731.2
16/2/2018,2727.14,2754.42,2725.11,2732.22
20/2/2018,2722.99,2737.6,2706.76,2716.26
21/2/2018,2720.53,2747.75,2701.29,2701.33
22/2/2018,2710.42,2731.26,2697.77,2703.96
23/2/2018,2715.8,2747.76,2713.74,2747.3
26/2/2018,2757.37,2780.64,2753.78,2779.6
27/2/2018,2780.45,2789.15,2744.22,2744.28
28/2/2018,2753.78,2761.52,2713.54,2713.83
