date,open,high,low,close
2/1/2018,105.44,105.47,105.09,105.22
3/1/2018,105.35,105.4099,105.215,105.33
4/1/2018,105.1,105.29,105.02,105.28
5/1/2018,105.28,105.315,105.06,105.15
8/1/2018,105.2,105.22,105.0106,105.1
9/1/2018,104.92,104.92,104.58,104.6
10/1/2018,104.29,104.62,104.233,104.57
11/1/2018,104.52,104.73,104.42,104.64
12/1/2018,104.42,104.61,104.4,104.57
16/1/2018,104.74,104.76,104.48,104.62
17/1/2018,104.46,104.6268,104.315,104.39
18/1/2018,104.11,104.21,103.98,104.06
19/1/2018,104,104,103.73,103.79
22/1/2018,103.87,103.95,103.67,103.75
23/1/2018,103.99,104.11,103.9,104.05
24/1/2018,103.87,103.95,103.73,103.85
25/1/2018,103.74,104.09,103.62,104.08
26/1/2018,103.96,103.96,103.66,103.77
29/1/2018,103.5,103.55,103.312,103.51
30/1/2018,103.42,103.48,103.2201,103.27
31/1/2018,103.44,103.49,103.0237,103.3
1/2/2018,103.1,103.1,102.57,102.6
2/2/2018,102.29,102.37,102.11,102.22
5/2/2018,102.25,103.31,102.0867,103.06
6/2/2018,102.95,103.04,102.61,102.61
7/2/2018,102.75,102.77,102.1934,102.31
8/2/2018,102.03,102.53,101.885,102.4
9/2/2018,102.11,102.81,102.11,102.22
12/2/2018,102.22,102.36,102.08,102.19
13/2/2018,102.27,102.39,102.18,102.36
14/2/2018,102.06,102.06,101.63,101.74
15/2/2018,101.76,101.96,101.735,101.77
16/2/2018,102.09,102.18,101.96,102.01
20/2/2018,101.81,101.96,101.72,101.9
21/2/2018,102,102,101.465,101.6
22/2/2018,101.76,101.87,101.7001,101.74
23/2/2018,102.01,102.21,101.98,102.13
26/2/2018,102.36,102.45,102.2034,102.25
27/2/2018,102.29,102.3293,101.74,101.93
28/2/2018,102.05,102.19,101.965,102.17
1/3/2018,102.16,102.605,102.03,102.45
2/3/2018,102.32,102.325,102.0139,102.07
5/3/2018,102.35,102.35,101.82,101.94
6/3/2018,101.97,102.15,101.92,101.93
7/3/2018,102.16,102.22,101.92,101.93
8/3/2018,102.07,102.239,102.02,102.14
9/3/2018,101.89,102,101.7734,101.92
12/3/2018,102,102.17,101.94,102.16
13/3/2018,102.32,102.38,102.13,102.33
14/3/2018,102.27,102.66,102.25,102.53
15/3/2018,102.51,102.62,102.39,102.49
16/3/2018,102.36,102.39,102.24,102.37
19/3/2018,102.15,102.46,102.14,102.27
20/3/2018,102.09,102.1632,102.035,102.07
21/3/2018,101.94,102.22,101.68,102.14
22/3/2018,102.52,102.77,102.39,102.56
23/3/2018,102.46,102.75,102.46,102.7
26/3/2018,102.52,102.65,102.39,102.42
27/3/2018,102.53,103.0472,102.52,103
28/3/2018,103.205,103.255,102.885,102.98
29/3/2018,103.01,103.31,103.01,103.19
2/4/2018,102.94,103.34,102.89,103.12
3/4/2018,102.96,103,102.75,102.79
4/4/2018,103,103,102.68,102.73
5/4/2018,102.57,102.61,102.43,102.47
6/4/2018,102.8,102.96,102.66,102.92
9/4/2018,102.74,102.94,102.65,102.94
10/4/2018,102.81,102.8699,102.684,102.76
11/4/2018,102.96,103,102.76,102.86
12/4/2018,102.72,102.73,102.46,102.49
13/4/2018,102.4,102.63,102.4,102.58
16/4/2018,102.33,102.545,102.31,102.53
17/4/2018,102.48,102.66,102.435,102.59
18/4/2018,102.48,102.5,102.19,102.19
19/4/2018,101.95,102.02,101.79,101.91
20/4/2018,101.78,101.84,101.57,101.57
23/4/2018,101.48,101.53,101.34,101.47
24/4/2018,101.33,101.45,101.26,101.35
25/4/2018,101.19,101.25,101.06,101.13
26/4/2018,101.37,101.46,101.31,101.42
27/4/2018,101.51,101.65,101.5,101.59
30/4/2018,101.64,101.81,101.615,101.7
1/5/2018,101.5,101.5,101.305,101.35
2/5/2018,101.39,101.51,101.3,101.37
3/5/2018,101.58,101.769,101.56,101.63
4/5/2018,101.75,101.79,101.49,101.64
7/5/2018,101.63,101.66,101.535,101.59
8/5/2018,101.43,101.52,101.32,101.42
9/5/2018,101.19,101.2999,101.1601,101.19
10/5/2018,101.43,101.48,101.3,101.4
11/5/2018,101.47,101.47,101.3,101.41
14/5/2018,101.25,101.28,101.18,101.19
15/5/2018,100.8,100.8,100.49,100.63
16/5/2018,100.67,100.695,100.42,100.42
17/5/2018,100.46,100.52,100.33,100.36
18/5/2018,100.55,100.81,100.55,100.75
21/5/2018,100.7,100.83,100.64,100.82
22/5/2018,100.82,100.83,100.69,100.78
23/5/2018,101.09,101.3,101.07,101.24
24/5/2018,101.47,101.64,101.425,101.5
25/5/2018,101.81,101.91,101.7601,101.9
29/5/2018,102.345,103.2,102.24,103
30/5/2018,102.57,102.72,102.375,102.56
31/5/2018,102.57,102.74,102.34,102.51
1/6/2018,101.85,102.09,101.77,101.93
4/6/2018,101.82,101.83,101.57,101.57
5/6/2018,101.84,101.97,101.72,101.83
6/6/2018,101.56,101.585,101.36,101.42
7/6/2018,101.42,102.13,101.39,101.85
8/6/2018,101.74,101.86,101.675,101.71
11/6/2018,101.53,101.64,101.5062,101.61
12/6/2018,101.47,101.6,101.45,101.55
13/6/2018,101.58,101.65,101.16,101.43
14/6/2018,101.62,101.76,101.54,101.75
15/6/2018,101.97,102.1,101.8,101.83
18/6/2018,101.96,101.98,101.7975,101.88
19/6/2018,102.18,102.275,102.085,102.145
20/6/2018,102.11,102.13,101.81,101.82
21/6/2018,101.98,102.1701,101.98,102.09
22/6/2018,101.96,102.16,101.95,102.11
25/6/2018,102.22,102.4,102.21,102.25
26/6/2018,102.27,102.36,102.205,102.3
27/6/2018,102.56,102.7266,102.48,102.69
28/6/2018,102.68,102.71,102.51,102.59
29/6/2018,102.58,102.68,102.5,102.51
2/7/2018,102.42,102.45,102.22,102.25
3/7/2018,102.29,102.51,102.28,102.51
5/7/2018,102.48,102.64,102.46,102.52
6/7/2018,102.64,102.71,102.5246,102.61
9/7/2018,102.37,102.44,102.325,102.35
10/7/2018,102.25,102.36,102.21,102.27
11/7/2018,102.46,102.51,102.32,102.48
12/7/2018,102.35,102.48,102.33,102.44
13/7/2018,102.55,102.64,102.481,102.61
16/7/2018,102.39,102.4799,102.255,102.44
17/7/2018,102.5,102.5,102.35,102.38
18/7/2018,102.43,102.45,102.27,102.3
19/7/2018,102.37,102.665,102.35,102.58
20/7/2018,102.46,102.46,102.18,102.22
23/7/2018,102.1,102.11,101.7,101.72
24/7/2018,101.7,101.8366,101.63,101.79
25/7/2018,101.91,101.9799,101.66,101.72
26/7/2018,101.82,101.87,101.59,101.61
27/7/2018,101.84,101.84,101.6767,101.77
30/7/2018,101.57,101.7563,101.56,101.64
31/7/2018,101.8,101.8287,101.71,101.78
1/8/2018,101.26,101.41,101.19,101.34
2/8/2018,101.41,101.48,101.32,101.46
3/8/2018,101.54,101.745,101.53,101.72
6/8/2018,101.79,101.95,101.76,101.77
7/8/2018,101.71,101.71,101.5422,101.56
8/8/2018,101.59,101.71,101.58,101.65
9/8/2018,101.81,101.93,101.79,101.93
10/8/2018,102.2,102.5,102.17,102.37
13/8/2018,102.31,102.46,102.23,102.34
14/8/2018,102.32,102.33,102.19,102.24
15/8/2018,102.46,102.68,102.43,102.49
16/8/2018,102.51,102.52,102.28,102.46
17/8/2018,102.55,102.64,102.4001,102.5
20/8/2018,102.7,102.859,102.68,102.82
21/8/2018,102.73,102.73,102.61,102.68
22/8/2018,102.96,102.96,102.7742,102.87
23/8/2018,102.91,102.945,102.83,102.86
24/8/2018,102.68,102.91,102.64,102.89
27/8/2018,102.75,102.775,102.64,102.66
28/8/2018,102.48,102.52,102.385,102.43
29/8/2018,102.46,102.47,102.295,102.4
30/8/2018,102.54,102.68,102.505,102.59
31/8/2018,102.82,102.83,102.6,102.61
4/9/2018,102.26,102.32,102.115,102.17
5/9/2018,102.15,102.23,102.045,102.16
6/9/2018,102.22,102.45,102.205,102.37
7/9/2018,102.01,102.035,101.87,101.91
10/9/2018,101.89,102.01,101.89,101.97
11/9/2018,101.77,101.8,101.6,101.6
12/9/2018,101.76,101.81,101.72,101.72
13/9/2018,101.86,101.86,101.69,101.71
14/9/2018,101.51,101.62,101.46,101.52
17/9/2018,101.41,101.578,101.38,101.54
18/9/2018,101.41,101.42,101.09,101.12
19/9/2018,101.06,101.07,100.8,100.945
20/9/2018,100.83,101.06,100.8,100.96
21/9/2018,100.9,101.06,100.9,101
